Country Name,Country Code,Series Name,Series Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,AFG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..,..,..,..,..,..,..,..,1.62960609911055,..,..,1.86891025641026,1.61082474226804,1.72206572769953,2.04608695652174,2.0114747930775,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.43125378739118,1.99206569856085,1.89623399634252,2.56626735198569,2.335545701939,2.08741255278385,1.94583569418812,1.82134545354632,1.17541612009987,1.07694976762403,1.29801287790022,0.994575822723645,0.956772140958855,0.945226799939516,1.00674585570556,1.17096838242129,1.35885692738929,1.827933856217,..,..
Africa Eastern and Southern,AFE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,1.53700823708967,2.09189437269344,1.8823609644992,2.45613657540455,2.48642415562278,2.50712033405943,2.35946678095025,2.35497542275287,2.39982150827396,2.32053008399811,2.48301905602214,2.46561001519773,2.63888959474099,3.05428693158566,3.60341458219836,4.12778128115597,4.58081445069036,4.83655108705772,4.50058001574518,3.74455980648906,3.84658695310333,3.96838140556133,3.96865851542054,3.97630048924387,3.89367362184115,4.10130549012829,4.04650549043719,4.37874895186112,4.34268962762466,4.14827908432327,3.58764370299241,2.83800818342296,3.10174194822194,2.61765807686127,2.13954295744386,1.83123099357956,1.82600823630352,1.82718566747484,2.27784173480391,2.0031204626262,1.95973493028092,2.02379773712771,1.77048593722976,1.86380928297813,1.67598006892357,1.70430501088565,1.66651434354211,1.92937057288887,1.91409184148158,1.53515394365583,1.50108846054968,1.53381251061391,1.72962681849627,1.75908677004752,1.53519896244988,1.27457624379763,1.27237611032072,1.11876116777695,1.07397677101422,1.10276155271469,1.005834982205,1.00007990958629,..
Africa Western and Central,AFW,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,1.31535140538826,1.31400999489844,1.44231649379604,1.46863572996607,1.36761320409383,..,5.39675140630505,6.26762519904657,3.94045737402496,3.10401060501879,3.79430321582245,3.7488988916048,3.33005560253264,5.56163154822357,4.30230496269107,4.27196553435578,3.7889221108243,3.20114408346934,2.48896227653133,2.49668625560977,2.10650372122374,2.09310642518957,1.60064529622029,1.54902308520114,1.51954780566193,1.23577400294949,1.29056489258419,1.13392150727541,1.15310544680115,1.13753280877271,1.1098242450289,1.2496784632264,0.961757811162774,0.641819991648552,0.538495878327336,0.560893136196613,0.646377777452832,1.00227800650327,0.84060300504094,1.04713348497439,1.12148608857167,0.918267937215571,0.849750314970298,0.681629680086156,0.647036023934031,0.702778408499537,0.82819702645851,0.921067616846596,0.83285014623365,0.805988028609479,0.714636737061578,0.767652445545055,0.73136252831992,0.677258937251936,0.826473318565721,0.822144354377939,0.8470218063275,0.801030346083212,0.949689600565108,1.1649514123788,0.973349581774907,..
Albania,ALB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.05202163275818,5.84831705344366,5.65159574468085,5.44128198995456,6.11750454270139,5.65142619937141,5.62618650405569,5.86222892264873,5.61731662843362,5.16761272357288,5.8883007196812,5.79127042184833,4.6708878237371,3.19945106674965,2.54781906037648,2.05358735905793,1.37902962734156,1.28308078036268,1.23824256064749,1.24921009885957,1.24636024189216,1.30929137475594,1.32003449433204,1.33684292419802,1.38115794211088,1.35000497056322,1.56776908873068,1.8207653435572,1.98486885667765,1.5172171395597,1.55859189302349,1.52826633776627,1.48708257655216,1.40898210141146,1.34651599128914,1.16230386432234,1.10358100880452,1.10915100558884,1.16054478505068,1.28080596201472,1.29847911563693,1.22084466120546,1.58488092384586,..
Algeria,DZA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..,2.5114854517611,3.49645390070922,3.41863517060367,3.51259360108918,3.01910043130006,2.61472785485592,2.38686735837108,2.13053918358437,2.08758503401361,1.79584396646008,1.68816199376947,1.95766814852145,2.13109429304577,2.70172122848464,2.24195045907314,2.37522893772894,2.13869586579631,2.10206329573495,1.81804887475257,2.06309744064138,1.95121325165132,1.75512400703414,1.64370689684736,1.78721366645198,1.85637627675836,1.74969874927024,1.54012377856337,1.46107058594342,1.21083405924608,2.14013212989672,2.50563157717782,3.14643001210165,2.93502710736712,3.0940883958553,3.63740346813324,3.96567378793071,3.75507998270644,3.43338563505363,3.82069546333074,3.70082935899902,3.25121089347184,3.2838845233139,2.83417835011465,2.6438075477202,2.92332102697669,3.02474714090386,3.84851369829344,3.51801260882618,4.32570635861069,4.46107862007699,4.84450891704059,5.54848333584853,6.27024285623508,6.38492898301865,5.92438332688534,5.48358870056161,5.99969025937654,6.69246839735744,5.58544666775166,4.77943828648395,..
American Samoa,ASM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.715E-05,1.73E-05,22.25,21.9805,19.4323333333333,17.4636666666667,7.1025,5.68283054258138,17.5225890755741,5.70928069083604,4.70739276826233,2.44784815671705,5.97226820719497,2.64201188106298,17.334692213616,6.39260315427404,4.52435381521461,2.86993244512575,3.76147907354734,3.47118018672779,3.69224094698531,3.76149530543532,3.11405449295742,3.57312038062707,4.70961004832072,4.1775845224338,3.25566035129376,3.23665949921649,4.45523942155109,4.69845451564414,3.10542629308278,2.73333494465123,2.50798280550579,1.95578680987962,1.73907015919852,1.70017816092424,1.28992265308256,1.32872232786494,..
Antigua and Barbuda,ATG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..,3.87809958822861,4.47439832434559,6.23712117752294,6.55781531157975,6.6673375365408,6.8006093824277,7.55697106523363,8.03790140230997,7.75433311926806,7.13928204975629,7.59359664882647,..,..,..,9.87181339553818,9.87904949542745,8.9968815560899,8.01756972220375,9.21038051121055,11.1500310198754,11.0478387269059,11.5402768922646,10.387011063814,..,8.56545408137475,8.06122573532163,..,..,10.7518815209819,8.59083463128939,7.83484101947533,7.38890737299859,6.58635864366324,6.01014051532379,6.56679450845248,7.47016580123166,6.45588658643867,6.35717396420215,6.32827669718152,5.81290335943537,5.38756566727352,5.02179446588318,4.55560102325448,4.30407933485383,4.44503693691166,4.12974578653851,5.22235832312993,4.97147763616983,4.88137223250954,4.96748145066829,5.72630500546188,6.36493869213684,7.46361894921409,6.17163068162454,6.41637916414918,5.89644087785195,5.41245949127909,5.78088610224041,5.10178382929976,4.94087263093924,..
